RPM,RPM ref,P,I,duty cycle,time
1444,1450,0.05,0.01,51,0
1445,1400,0.05,0.01,48,10
1449,1450,0.05,0.01,50,20
1445,1450,0.05,0.01,50,30
1450,1450,0.05,0.01,50,40
1453,1450,0.05,0.01,50,50
1462,1450,0.05,0.01,49,60
1446,1450,0.05,0.01,50,70
1456,1450,0.05,0.01,49,80
1462,1450,0.05,0.01,49,90
1449,1450,0.05,0.01,50,100
1458,1400,0.05,0.01,46,110
1462,1450,0.05,0.01,48,120
1449,1450,0.05,0.01,49,130
1453,1400,0.05,0.01,46,140
1437,1400,0.05,0.01,46,150
1442,1400,0.05,0.01,46,160
1441,1400,0.05,0.01,45,170
1425,1450,0.05,0.01,49,180
1433,1450,0.05,0.01,49,190
1435,1450,0.05,0.01,49,200
1420,1450,0.05,0.01,50,210
1428,1450,0.05,0.01,49,220
1413,1450,0.05,0.01,51,230
1425,1450,0.05,0.01,50,240
1433,1450,0.05,0.01,50,250
1418,1450,0.05,0.01,51,260
1427,1400,0.05,0.01,48,270
1433,1400,0.05,0.01,47,280
1425,1450,0.05,0.01,50,290
1425,1400,0.05,0.01,48,300
1429,1450,0.05,0.01,50,310
1425,1450,0.05,0.01,51,320
1429,1450,0.05,0.01,51,330
1437,1450,0.05,0.01,50,340
1429,1450,0.05,0.01,51,350
1436,1450,0.05,0.01,51,360
1441,1450,0.05,0.01,51,370
1453,1450,0.05,0.01,51,380
1437,1450,0.05,0.01,51,390
1449,1450,0.05,0.01,51,400
1458,1450,0.05,0.01,50,410
1445,1450,0.05,0.01,51,420
1458,1450,0.05,0.01,50,430
1461,1450,0.05,0.01,50,440
1449,1450,0.05,0.01,50,450
1458,1400,0.05,0.01,47,460
1462,1400,0.05,0.01,46,470
1450,1400,0.05,0.01,46,480
1452,1400,0.05,0.01,45,490
1433,1400,0.05,0.01,46,500
1437,1400,0.05,0.01,45,510
1438,1400,0.05,0.01,45,520
1420,1400,0.05,0.01,46,530
1420,1400,0.05,0.01,46,540
1421,1400,0.05,0.01,45,550
1404,1450,0.05,0.01,49,560
1412,1450,0.05,0.01,49,570
1404,1450,0.05,0.01,49,580
1407,1450,0.05,0.01,50,590
1416,1450,0.05,0.01,50,600
1404,1450,0.05,0.01,51,610
1407,1450,0.05,0.01,51,620
1420,1450,0.05,0.01,51,630
1416,1450,0.05,0.01,51,640
1416,1400,0.05,0.01,49,650
1425,1400,0.05,0.01,48,660
1416,1450,0.05,0.01,51,670
1420,1450,0.05,0.01,52,680
1434,1450,0.05,0.01,51,690
1425,1450,0.05,0.01,52,700
1433,1450,0.05,0.01,51,710
1441,1400,0.05,0.01,48,720
1437,1450,0.05,0.01,51,730
1437,1450,0.05,0.01,51,740
1449,1400,0.05,0.01,48,750
1442,1450,0.05,0.01,50,760
1435,1400,0.05,0.01,48,770
1445,1450,0.05,0.01,50,780
1453,1450,0.05,0.01,50,790
1437,1450,0.05,0.01,51,800
1445,1450,0.05,0.01,50,810
1458,1450,0.05,0.01,49,820
